doc_id,source_path,doc_type,file_format,file_size_bytes,image_width,image_height,dpi,quality_score,has_blur,vendor,timestamp,checksum,quality_bin
doc_005017,data/raw/dataset1/train/invoice/Invoice_128_jpg.rf.dc2224770dfd6bf600602b7d81709edf.jpg,invoice,jpg,29344,600,600,300,1.0,False,,2025-10-27T20:01:37.210883,0b1414d879ac73e79a3785a698b8a37f,high
doc_001057,data/raw/dataset1/train/receipt/1043-receipt_jpg.rf.fe14198a72ed7c8e2331ff2824f17478.jpg,invoice,jpg,16080,416,416,300,0.10242916723568357,False,,2025-10-27T20:00:16.562753,38416b3f8436bcedc5c3360b73b25121,low
doc_000472,data/raw/dataset1/train/receipt/38_jpeg_jpg.rf.87bdc99ae3f81476ff9c9fc323828e6a.jpg,invoice,jpg,20704,405,617,300,1.0,False,,2025-10-27T20:00:01.765116,8d24cdb16152e1f3fa3872b85d41dd22,high
doc_000152,data/raw/dataset1/train/receipt/27_jpg.rf.c095060d636dbac150a3e8ceb0cd6679.jpg,invoice,jpg,31340,436,577,300,0.6908864968524185,False,,2025-10-27T19:59:51.242459,789e8d233301ab31656505c499224cbe,high
doc_006140,data/raw/dataset2/valid/invoice_394_1_png.rf.02b2ef92bd2306c296d90f60f66d3925.jpg,invoice,jpg,33187,640,640,300,1.0,False,,2025-10-27T20:01:56.491646,f7128a7536d18675ba2333a4c8c33fbb,high
doc_003528,data/raw/dataset1/train/invoice/Invoice_131_horizontallyflip_jpg.rf.ac6ad04a2d61badde5afe812c50c0436.jpg,invoice,jpg,33052,600,600,300,1.0,False,,2025-10-27T20:01:10.286532,547e2385da36cf59df6f6b1907da2ad2,high
doc_002767,data/raw/dataset1/train/invoice/Invoice_27_jpg.rf.62dbb9dae0a4911a2293f229d0e2f25f.jpg,invoice,jpg,33662,600,600,300,1.0,False,,2025-10-27T20:00:56.456562,6cd322318d303186b094e2b627967995,high
doc_002670,data/raw/dataset1/train/receipt/1048-receipt_jpg.rf.43d72ce155558f6262460126346b81c9.jpg,invoice,jpg,19856,416,416,300,0.2577590186970646,False,,2025-10-27T20:00:54.757156,4acfd3706c503288faf617d73555b257,low
doc_005577,data/raw/dataset2/train/invoice_84_0_png.rf.5e50698976ea8cff2cbc15b72563de88.jpg,invoice,jpg,33561,640,640,300,1.0,False,,2025-10-27T20:01:46.714091,5b74cfacc18ab53e8ce249287ff28f1e,high
doc_002519,data/raw/dataset1/train/receipt/1053-receipt_jpg.rf.8b8f5b3cadd67f1a36fae79f70ef4c2d.jpg,invoice,jpg,20451,416,416,300,0.2123853861476305,False,,2025-10-27T20:00:49.766469,d12b970f3627d5d27a0a0a003f023dce,low
doc_003837,data/raw/dataset1/train/invoice/Invoice_117_brightness_jpg.rf.ddf723a7fdb6176098827aae2e2ea231.jpg,invoice,jpg,20176,600,600,300,0.6374486572914737,False,,2025-10-27T20:01:15.539507,200f49a09b7495cecad3d0b6360a9ac7,medium
doc_002557,data/raw/dataset1/train/receipt/ReceiptGenerator-13012631_jpg.rf.4401cdfdd01125b3a0039b39e7643ead.jpg,invoice,jpg,170270,972,1938,300,1.0,False,,2025-10-27T20:00:51.524475,3fcdd50ba6179e7ed750c2a0cb1959be,high
doc_004341,data/raw/dataset1/train/invoice/Invoice_112_gaussianblur_jpg.rf.484a21bd89e50d24cdb0824bd4b28c26.jpg,invoice,jpg,21642,600,600,300,0.2609018661450618,False,,2025-10-27T20:01:24.329566,8387463b1a831cdee8b3638f0e147940,low
doc_001186,data/raw/dataset1/train/receipt/IMG_9639_jpeg_jpg.rf.f678f1d80fbf7541f71620dec8c9f480.jpg,invoice,jpg,68865,800,800,300,0.16729938385886478,False,,2025-10-27T20:00:19.090291,6447bc3f3d2ae84452a191b0c48da19a,low
doc_000972,data/raw/dataset1/train/receipt/1078-receipt_jpg.rf.52ab01dbcbef38e40fa2f4fadcbdc419.jpg,invoice,jpg,23324,416,416,300,0.4083771681418785,False,,2025-10-27T20:00:14.410781,9230aedb343d6edab0b9d80996ba715f,medium
doc_001717,data/raw/dataset1/train/receipt/1119-receipt_jpg.rf.04f89f06bdb1c28864a26cf896514277.jpg,invoice,jpg,22767,416,416,300,0.4103859934951239,False,,2025-10-27T20:00:30.884089,9feac1e0bb89cba7c8c76aab464f547c,medium
doc_005259,data/raw/dataset1/train/invoice/Invoice_130_jpg.rf.40db22702073029eed8a64018f54b132.jpg,invoice,jpg,30998,600,600,300,1.0,False,,2025-10-27T20:01:40.989348,b523bb964774fc9b60055d5c2dcf8cd7,high
doc_003950,data/raw/dataset1/train/invoice/Invoice_32_jpg.rf.00a78b10c0c0893fb92f6995ad4fadfc.jpg,invoice,jpg,43917,600,600,300,1.0,False,,2025-10-27T20:01:18.178334,d9de4c09ee6196329d081945d5951a2c,high
doc_002477,data/raw/dataset1/train/receipt/1118-receipt_jpg.rf.154807d94f670586b37255c42deb8152.jpg,invoice,jpg,16365,416,416,300,0.1329948150537198,False,,2025-10-27T20:00:48.752341,ed51d34fc7d472537966a1bed1eb9a87,low
doc_001852,data/raw/dataset1/train/receipt/28_jpg.rf.df5cb7352b0ee005fd929c5944b7130c.jpg,invoice,jpg,148737,1039,2048,300,0.12129756673090389,False,,2025-10-27T20:00:33.907068,733757025b167d26bf51213b4e6ae62b,low
doc_005021,data/raw/dataset1/train/invoice/3_jpeg_jpg.rf.df7aec063c66b178e8dac2703de5d8e5.jpg,invoice,jpg,274332,1400,1976,300,0.5130034833662127,False,,2025-10-27T20:01:37.358471,3b8a10bec3e5dbe737d6269394a0d3a8,medium
doc_001732,data/raw/dataset1/train/receipt/1086-receipt_jpg.rf.27f86672a0964d1414d7ecdb1a0120cb.jpg,invoice,jpg,16202,416,416,300,0.13476254652311212,False,,2025-10-27T20:00:31.233997,349f3f568724b39baa6ac46abed5890e,low
doc_000003,data/raw/dataset1/train/receipt/IMG_9480_jpeg_jpg.rf.1a95b15ec345910106076189cc026455.jpg,invoice,jpg,81126,800,800,300,0.5988422401873438,False,,2025-10-27T19:59:46.069070,e29574bacfc17b060de0426ff1c216ee,medium
doc_003858,data/raw/dataset1/train/invoice/Invoice_129_jpg.rf.5aaa4671757ed05c664c8643a25ece20.jpg,invoice,jpg,32777,600,600,300,1.0,False,,2025-10-27T20:01:16.013499,12be721abde4d37d218b8c223e7f89ac,high
doc_006040,data/raw/dataset2/train/INVO-INVOICE_RUN_2022-11-20-122011_78_png.rf.8c5035ec5032931764a7971cd46c1d6a.jpg,invoice,jpg,55780,640,640,300,1.0,False,,2025-10-27T20:01:54.041465,efa88cf867e4748edad10c23d2724374,high
